No.	Fund	Ref. No.	Project Title	Applicant(s)
28	HMRF - Health and Health Services (former HHSRF)	2030111	A randomized controlled trial of the efficacy of a model of psychosocial intervention in improving quality of life and psychological well-being of Chinese patients with colorectal cancer	Lee AM
29	HMRF - Health and Health Services (former HHSRF)	2030121	Factors influencing delayed presentation of symptomatic breast cancer	Lam WTW
30	HMRF - Health and Health Services (former HHSRF)	2030161	Health-related Quality of Life measures for Hong Kong Chinese children with cancer	Chan CFG
31	HMRF - Infectious Disease (former RFCID)	2040162	Oncogeneic role of hepatitis B Virus (HBV) X gene in the development of hepatocellular carcinoma	Guan XY
32	HMRF - Advanced Medical Research	2130066	A functional study of nuclear receptor LRH-1 and its targeting in prostate cancer	CHAN FL
33	HMRF - Advanced Medical Research	2130746	An investigation of amyloid precursor protein in triple negative breast cancers and its potential clinical value	TSE G
34	HMRF - Advanced Medical Research	2131026	Functional Role of MicroRNAs in EGFR-Targeted Therapy Resistance in Non-Small Cell Lung Cancer	CHAN WC
35	HMRF - Advanced Medical Research	2131036	The use of a novel synthetic flavonoid to improve bioavailability of paclitaxel: a pharmacokinetic, mechanistic and in vivo efficacy study	LARRY C
36	HMRF - Advanced Medical Research	2131226	The diagnostic and prognostic usefulness of a targeted plasma RNA sequencing developed non-invasive marker panel in colorectal cancer	WONG SCC
37	HMRF - Advanced Medical Research	2131706	Delineating pathogenic mutations in Epstein-Barr virus genomes of nasopharyngeal carcinoma using next generation sequencing technology	CHIANG AKS
38	HMRF - Advanced Medical Research	2131876	Exploring the Mechanism for Cancer Associated Fibroblasts Recruitment and the Potential Therapeutic Value in Esophageal Squamous Cell Carcinoma	GUAN XY
39	HMRF - Advanced Medical Research	2132016	The clinical relevance of telomere attrition and NPC genetic susceptibility	KO MYJ
40	HMRF - Advanced Medical Research	2132326	Developing an in vivo zebrafish platform for functional evaluation of recurrent mutations in acute myeloid leukemia (AML) and primary screening of novel targeted therapeutic agents	MA ACH
41	HMRF - Advanced Medical Research	2132436	The role of BMI-1 in regulation of JAK-STAT signaling pathway in human leukemia	NG RK
42	HMRF - Advanced Medical Research	2132696	Targeting the metabolic machineries of HCC by understanding the roles of transketolase in hepatocellular carcinoma development	WONG CCL
43	HMRF - Advanced Medical Research	2132846	Functional role of hypoxia-induced caveolin-1 in hepatocellular carcinoma metastasis	YAM JWP
44	HMRF - Advanced Medical Research	2132886	Intestinal organoid cultures of early onset colorectal cancers	YAN HNH
45	HMRF - Advanced Medical Research	2133056	Mechanistic study of EBNA1-mediated latent DNA replication of Epstein-Barr virus	ZHU G
46	HMRF - Advanced Medical Research	2133366	Establishing an intracellular targeting antibody platform for cancer treatment	GUAN Xin-Yuan
47	Health Services Research Fund (HSRF)	3040081	Cancer patients with fever and neutropenia: a prospective evaluation of risk assessment tools and infectious etiology in Hong Kong	Hui PE
48	HMRF - Infectious Disease (former RFCID)	3040472	Immunogenetics and viral genotyping of Hong Kong hepatitis B virus carriers for the increased risk of hepatocellular carcinoma	Ng MHL
49	HMRF - Health and Health Services (former HHSRF)	3040551	Development of the OMQoL: an oropharyngeal mucositis-specific measure of quality of life in patients with cancer therapy	Cheng KFK
50	HMRF - Infectious Disease (former RFCID)	3040552	Sequencing analysis of 3' region of cagA gene in Helicobacter pylori isolated from Hong Kong Chinese patients with different H. pylori-associated diseases.	To KF
51	HMRF - Health and Health Services (former HHSRF)	3040751	A cost-effectiveness analysis of mammography screening in Hong Kong Chinese using state-transition Markov modelling	Leung GM
52	HMRF - Advanced Medical Research	3140276	Repurposing of clinically approved drugs as autophagy modulators to overcome drug resistance to molecular targeted tyrosine kinase inhibitors (TKI) in treating lung cancer	TO Kenneth Kin-wah
53	HMRF - Advanced Medical Research	3140526	A prospective colonoscopic study to investigate risk of colorectal neoplasms in first-degree relatives of patients with non-advanced adenomas	NG Siew Chien
54	HMRF - Advanced Medical Research	3140856	Elucidation of a novel tumor suppressor gene MAP9 in regulating chromosome instability in colon cancer	YU Jun
55	HMRF - Advanced Medical Research	3141076	Design and Development of Multifunctional 3D DNA Nanostructures as Brain-Targeted Drug Nanocarriers for the Treatment of Brain Diseases	LO Pik Kwan Peggy
56	HMRF - Advanced Medical Research	3141186	Targeting Oncogenic micoRNA-125 in Acute Myeloid Leukemia	LE Minh
57	HMRF - Advanced Medical Research	3141376	Elucidating the immunoregulatory role of the oncogenic cell-cycle related kinase (CCRK) in obesity-related hepatocellular carcinoma	ZHOU JINGYING
58	HMRF - Advanced Medical Research	3142346	Role of individual dietary counselling on weight loss and change in quality of life in patients with nasopharyngeal carcinoma treated with intensity-modulated radiation therapy	LEE Victor
59	HMRF - Advanced Medical Research	3142426	Epigenetic function of TET2 in the transcriptional regulation of MLL-rearranged leukemia	NG Ray Kit
60	HMRF - Advanced Medical Research	3142666	Role of ?42PD1/TLR4 interaction in human hepatocellular carcinoma and its blockade as a novel immunotherapy strategy	TAN Zhiwu
61	HMRF - Advanced Medical Research	3142736	Targeting stearoyl-CoA desaturase-1 (SCD1) in combination with sorafenib for the treatment of hepatocellular carcinoma	LEE Kin-wah Terence
62	HMRF - Advanced Medical Research	3142766	Study of the clinical relevance and functional role of Stanniocalcin 1 in hepatocellular carcinoma	LO CHEUK LAM REGINA
63	HMRF - Advanced Medical Research	3142836	Investigation of functional synergism of CENPF and FOXM1 in hepatocellular carcinoma	HO Daniel Wai-hung
64	HMRF - Advanced Medical Research	3142856	Translating intra-tumoural genetic heterogeneity to identify cancer progression genes in lung adenocarcinoma	WONG Maria Pik
65	HMRF - Advanced Medical Research	3142926	Targeting hypoxia-induced ectonucleoside triphosphate diphosphohydrolase 2 (ENTPD2) in hepatocellular carcinoma (HCC) development	WONG Carmen Chak-lui
66	HMRF - Advanced Medical Research	3142936	The molecular mechanisms elicited by Sorafenib withdrawal in hepatocellular carcinoma treatment	WONG Carmen Chak-lui
67	HMRF - Advanced Medical Research	3142966	Characterization of anti-CCL28 as a novel therapy to overcome sorafenib resistance in HCC	NG Irene Oi-Lin
68	HMRF - Advanced Medical Research	3142986	Deregulation and somatic mutations of histone methyltransferase ASH1L in liver cancer.	WONG Chun Ming
69	HMRF - Advanced Medical Research	3142996	Pathological implications and functional characterizations of novel long non-coding RNA linc-CHD1L-1 in hepatocellular carcinoma	WONG Chun-ming
70	HMRF - Advanced Medical Research	3143006	p21 activated kinase 4 and ovarian cancer chemoresistance	CHEUNG Annie Nga-yin
71	HMRF - Advanced Medical Research	3143326	Effects of NADPH oxidase 5 in modulating hypoxic response in oral tongue cancer	WONG Thian-sze
72	HMRF - Advanced Medical Research	3143396	Cyclin D1-Smad-mediated liver cancer stem cells (CSCs) self-renewal and therapeutic potential of Smad inhibitor-induced CSC differentiation and chemo-sensitization	WANG Xiao-qi
73	HMRF - Advanced Medical Research	3143406	Risk assessment of hereditary breast and ovarian cancer syndrome in Chinese population by multiple-gene sequencing	KWONG Ava
74	HMRF - Advanced Medical Research	3143616	Translating functional tumour volume and biology of peritoneal carcinomatosis to identify suitable candidate for cytoreductive surgery in ovarian carcinoma.	LEE Elaine Yuen Phin
75	HMRF - Advanced Medical Research	3143816	Identification of methylated miRNAs in acute promyelocytic leukaemia and their potential clinical application	CHIM James Chor-sang
76	HMRF - Advanced Medical Research	3143956	A Combination of Sorafenib, Oxaliplatin and Capecitabine as Neoadjuvant Therapy for Patients with Locally Advanced Hepatocelullar Carcinoma: A Phase II Study	YAU Thomas Chung-cheung
77	HMRF - Advanced Medical Research	3144046	Establish a zebrafish model to study the molecular and clonal heterogeneity and develop personalized treatment in FLT3-ITD+ AML	LEUNG Yu-hung Anskar
78	HMRF - Advanced Medical Research	3144146	Reversal of P-glycoprotein-mediated cancer multidrug resistance using synthetic, potent and non-toxic green tea polyphenol derivatives.	CHOW Larry
79	HMRF - Advanced Medical Research	3144266	Molecular Ultrasound Assessment of Prostate Tumor Angiogenesis With Endoglin Targeted Microbubble	SUN Lei
80	HMRF - Advanced Medical Research	4150266	Interleukin-1 receptor associated kinase 1 (IRAK1) is a target that drives liver tumor initiating cells and sorafenib resistance in hepatocellular carcinoma	LEE Kin-Wah Terence
81	HMRF - Advanced Medical Research	4150406	CCCTC-binding factor (CTCF) in hepatocellular carcinoma: functional characterization of its role in tumorigenesis and its potential in targeted therapy.	KO Chi Bun
82	HMRF - Advanced Medical Research	4150606	Clinical application of pleural fluid fatty acid synthase and pleural fluid total free fatty acids as cancer biomarkers in malignant pleural effusions	LAM Ching Wan
83	HMRF - Advanced Medical Research	4150726	Optimizing the selection of patients with metastatic colorectal cancer for liver resection - An immuno-clinical scoring system incorporating circulating tumor cell enumeration and clinical factors.	LAM Ka-on
84	HMRF - Advanced Medical Research	4150776	Characterization of a novel tumor suppressive long non-coding RNA linc-ALDH1A2-1 in hepatocellular carcinoma	WONG Carmen Chak Lui
85	HMRF - Advanced Medical Research	4150826	Characterization of the effect of Maelstrom in cancer stemness in hepatocellular carcinoma	GUAN Xin-yuan
86	HMRF - Advanced Medical Research	4150856	Therapeutic potential of targeting CDK7-dependent and super-enhancer associated oncogene addiction in liver cancer	WONG Chun-ming
87	HMRF - Advanced Medical Research	4151146	Establishment and applications of organoid cultures from primary hepatic carcinomas - a pilot study	ZHOU Lei
88	HMRF - Advanced Medical Research	4151186	Role of ASNS in the development of HCC via modulating cancer stemness properties	WONG TIN LOK
89	HMRF - Advanced Medical Research	4151266	Combination of dendritic cell-based vaccination and immune checkpoint blockade for malignant mesothelioma immunotherapy	TAN ZHIWU
90	HMRF - Advanced Medical Research	4151366	Use of whole genome sequencing to unveil new mechanisms of germline DNA mismatch repair gene alterations in Lynch Syndrome patients	YAN Hoi Ning Helen
91	HMRF - Advanced Medical Research	4151726	Preclinical evaluation of therapeutic use of a selective cdk4/6 inhibitor (PD-0332991) in nasopharyngeal carcinoma (NPC).	TSAO George Sai-wah
92	HMRF - Advanced Medical Research	4151826	Hyperpolarization-activated cyclic nucleotide-gated channel 3 (HCN3) regulating apoptosis resistance, autophagy and cellular senescence in breast cancer: a novel potential anti-cancer target.	KHOO Ui Soon
93	HMRF - Advanced Medical Research	4151876	The function of CD271 in the development of stem-like cell phenotype in nasopharyngeal carcinoma	CHAN Yu Wai Jimmy
94	HMRF - Advanced Medical Research	4151886	A study of the regulation of TAX1 binding protein 2 by p21-activated protein kinase 4 in liver cancer metastasis	CHING Wilson Yick Pang
95	HMRF - Advanced Medical Research	4151956	Identification and Evaluation of a Reliable, Non-invasive Diagnostic Method Using blood microRNA expression to diagnose High-Risk Colorectal Cancer Candidates	LAW Wai-lun
96	HMRF - Advanced Medical Research	4152266	Induction of cancer cell apoptosis by integrin endocytosis	YU Cheng-han
97	HMRF - Advanced Medical Research	4152326	Targeting DNA damage and repair mechanism in FLT3-ITD acute myeloid leukaemia (AML) - a mechanistic and therapeutic study	LEUNG Yu Hung
98	HMRF - Advanced Medical Research	4152336	A comprehensive study on the effects of antioxidant supplements in liver cancer development and treatment	NG Irene Oi-lin
99	HMRF - Advanced Medical Research	4152766	Partially covered versus uncovered pyloro-duodenal stents for unresectable malignant gastric outlet obstruction. A double blinded randomised controlled trial.	TEOH Anthony Yuen-bun
100	HMRF - Advanced Medical Research	4153006	Endoscopic submucosal dissection (ESD) versus transanal minimally invasive surgery (TAMIS) for early rectal neoplasms: a prospective randomized controlled trial	NG Simon Siu-man
101	HMRF - Advanced Medical Research	4153526	Aberrant spindle assembly checkpoint, chromosomal instability and liver cancer	MA Ken Hoi-tang
102	HMRF - Advanced Medical Research	4153586	Role of the Dragon (RGMb)-netrin receptor pathways in colorectal cancer growth	XIA Yin
103	HMRF - Infectious Disease (former RFCID)	5050022	Characterization of the roles of hepatitis B virus X protein in liver cancer	Ng IOL
104	HMRF - Infectious Disease (former RFCID)	5050052	Study of human papillomavirus status in Southern Chinese women with normal cervix, precancerous cervical lesions and cervical cancers	Ngan HYS
105	HMRF - Health and Health Services (former HHSRF)	5060471	Factors and outcomes of oral mucositis in paediatric patients undergoing chemotherapy for the treatment of cancer.	Cheng KFK
106	HMRF - Health and Health Services (former HHSRF)	5060581	Psychosocial and physical outcomes after surgery for breast cancer: A five to six year follow-up and exploration of consultation factors.	Fielding R
107	HMRF - Health and Health Services (former HHSRF)	5060741	Health-related Quality of Life and Health Preference of Patients with Chronic Hepatitis B Infections	Lam LKC
108	HMRF - Advanced Medical Research	5160046	Long noncoding RNA profiling by whole transcriptome sequencing for classification and prognostication in adult acute myeloid leukaemia	IP Ho-wan
109	HMRF - Advanced Medical Research	5160336	Overcoming Blood-Brain Barrier to Treat Brain Cancers by Multifunctional Nanodiamond-Mediated Drug Delivery System	LO Pik Kwan Peggy
110	HMRF - Advanced Medical Research	5160926	Clinical application of enumeration and genomic characterization for non-invasive detection and real-time monitoring of circulating tumor cells for esophageal carcinoma	LUNG Maria
111	HMRF - Advanced Medical Research	5161056	Study of the efficacy of PIM inhibitors in hepatocellular carcinoma	LO CHEUK LAM REGINA
112	HMRF - Advanced Medical Research	5161216	Identification of Serine/Threonine kinase 39 (STK39) as a novel therapeutic kinase against liver tumor-initiating cells in hepatocellular carcinoma	LEE Terence Kin-wah
113	HMRF - Advanced Medical Research	5161756	A study of the role and therapeutic potential of targeting protein tyrosine kinase 7 (PTK7) in liver cancer	MA Stephanie Kwai Yee
114	HMRF - Advanced Medical Research	5161786	Pathological significances and therapeutic potential of targeting FACT complex in liver cancer	WONG Chun Ming
115	HMRF - Advanced Medical Research	5161816	The Anti-Tumor Effects of M1 Macrophage-Loaded Poly(ethylene) Glycol and Gelatin-Based Hydrogels on Hepatocellular Carcinoma	YEUNG WAI HO OSCAR
116	HMRF - Advanced Medical Research	5162176	Targeting Human papillomavirus (HPV) negative cervical cancer	WONG Gee Wan
117	HMRF - Advanced Medical Research	5162186	Peripheral immunological response to treatment with checkpoint inhibitor in recurrent/metastatic nasopharyngeal carcinoma and correlation with clinical response and adverse effects	KWONG Dora Lai-wan
118	HMRF - Advanced Medical Research	5162206	Harnessing tyrosine kinase inhibitor resistance of EGFR-mutated lung adenocarcinomas through candidate resistant genes screening	WONG Maria Pik
119	HMRF - Advanced Medical Research	5162256	Inhibition of reactive oxygen species upregulation of caveolin-1 by propofol contributes to the suppression of hepatocellular growth and aggressiveness	MAO Xiaowen
120	HMRF - Advanced Medical Research	5162326	Augmenting antitumor T responses of viral cancer therapy by targeting myeloid-derived suppressor cells with an armed recombinant vaccinia virus	TAN ZHIWU
121	HMRF - Advanced Medical Research	5162386	Development of molecular probes for surface markers on LMP1-positive nasopharyngeal cancer cells using aptamers selected by cell-SELEX	TSANG Chi Man
122	HMRF - Advanced Medical Research	5162456	Prospective study on cryosurgery for treatment of early breast cancers	CO Michael
123	HMRF - Advanced Medical Research	5162536	Functions of LTBP2 in regulating nasopharyngeal carcinoma chemosensitivity	CHAN Yu Wai Jimmy
124	HMRF - Advanced Medical Research	5163116	UHRF1 in KLF4 ubiquitination and skin dysplasia	ZHOU Zhongjun
125	HMRF - Advanced Medical Research	5163166	AXL receptor tyrosine kinase as a biomarker for sorafenib response and target for personalized therapy in patients with hepatocellular carcinoma	TONG Man
126	HMRF - Advanced Medical Research	5163456	The role of methylation-mediated silencing of HOTTIP in mantle cell lymphoma	CHIM James Chor-sang
127	HMRF - Advanced Medical Research	5163536	Targeting miR-199a-3p to overcome chemoresistance in ovarian cancer	WONG Alice Sze Tsai
128	HMRF - Advanced Medical Research	5163566	Pathological roles of Bromodomain and Extra-Terminal (BET) proteins and their therapeutic implications in liver cancer	TSANG Felice Hoching
129	HMRF - Infectious Disease (former RFCID)	6060122	Hepatitis B virus DNA and liver-related complications	Chan LYH
130	HMRF - Infectious Disease (former RFCID)	6060372	Identification of Epstein-Barr virus miRNA in nasopharyngeal carcinoma cells	To KF
131	HMRF - Infectious Disease (former RFCID)	6060642	Cervical cancer screening by enhanced cervical cytology - Application of novel markers	Cheung NYA
132	HMRF - Health and Health Services (former HHSRF)	6070131	A survey on health status of childhood cancer survivors	Chan CWH
133	HMRF - Health and Health Services (former HHSRF)	6070371	Electroacupuncture for postoperative ileus after laparoscopic colorectal surgery: a randomised sham-controlled study	Ng SSM
134	HMRF - Advanced Medical Research	6170056	Exploring the regulatory role of MT1-MMP for body weight and the therapeutic potential of MT1-MMP inhibition in obesity	WONG Hoi Leong Xavier
135	HMRF - Advanced Medical Research	6170256	Establishment and characterization of nuclear receptor NURR1 as a potential therapeutic target for castration-resistant prostate cancer	CHAN Franky Leung
136	HMRF - Advanced Medical Research	6170426	A randomized study of neoadjuvant chemoradiotherapy with or without intensification with the FOLFOXIRI chemo-regimen for high-risk locally advanced rectal cancer	MA Brigette
137	HMRF - Advanced Medical Research	6170686	A novel epigenetic therapy for the treatment of KRAS-mutant colorectal cancer	WONG Chi-chun
138	HMRF - Advanced Medical Research	6170896	Establishment of RB1 genetic marker for retinoblastoma	PANG Chi-pui
139	HMRF - Advanced Medical Research	6171156	Transanal Total Mesorectal Excision versus Robotic Total Mesorectal Excision for Mid and Low Rectal Cancer: A Prospective Randomized Controlled Trial	NG Simon Siu-man
140	HMRF - Advanced Medical Research	6171566	Establishment of a patient-derived organoid in vivo drug testing model in esophageal squamous cell carcinoma and a pilot study for tumor-associated macrophage targeted therapy	YU Valen Zhuoyou
141	HMRF - Advanced Medical Research	6171586	Genome-scale CRISPR/Cas9 knockout library screening identified druggable targets to overcome Lenvatinib resistance in liver cancer	WEI lai
142	HMRF - Advanced Medical Research	6171666	Genome-wide DNA-methylation profiling as frontline diagnostic test for central nervous system embryonal tumors in children	LIU Anthony Pak-yin
143	HMRF - Advanced Medical Research	6171696	Targeting interleukin-6 receptor in BQ323636.1 overexpressing ER+ breast cancer to reverse tamoxifen resistance	TSOI Ho
144	HMRF - Advanced Medical Research	6171706	Monitoring treatment response in advanced ovarian cancer by PET-CT following neo-adjuvant chemotherapy	LEE Elaine Yuen Phin
145	HMRF - Advanced Medical Research	6171786	PD-L1-positive circulating tumour cells (CTC) in predicting treatment response and survival after concurrent chemoradiation for locally advanced nasopharyngeal carcinoma (NPC).	LEE Victor
146	HMRF - Advanced Medical Research	6171916	Targeting androgen receptor in BQ323636.1 overexpressing ER+ breast cancer to overcome aromatase inhibitor resistance.	KHOO Ui Soon
147	HMRF - Advanced Medical Research	6171936	The role of GFPT2 in head and neck squamous cell carcinoma	GAO Wei
148	HMRF - Advanced Medical Research	6171956	Delineating the immunoregulatory role of PVRL1/TIGIT interaction in hepatocellular carcinoma and its resistance to PD-1 blockade	CHIU DAVID KUNG-CHUN
149	HMRF - Advanced Medical Research	6172046	Radiosensitivity index (RSI) as predictive biomarker for radiotherapy de-intensification in nasopharyngeal carcinoma	CHIANG Chi-Leung
150	HMRF - Advanced Medical Research	6172066	Galectin-9 is a potential dual treatment target for tumor cells and the immune micro-environment of lung adenocarcinoma	WONG Maria Pik
151	HMRF - Advanced Medical Research	6172156	The Therapeutic Effects of Blocking Galectin 9-mediated Immuno-inhibition in a Novel Adoptive T Cell Therapy for Nasopharyngeal Carcinoma	KWONG Dora Lai-wan
152	HMRF - Advanced Medical Research	6172196	Using extracellular vesicles to deliver siRNAs against FLT3 mutants for personalized treatments against drug-resistant acute myeloid leukemia	SHI Jiahai
153	HMRF - Advanced Medical Research	6172236	The role of centrosomal protein CEP295 in chromosome instability and liver cancer progression	CHING Yick Pang
154	HMRF - Advanced Medical Research	6172476	Identifying biomarkers predictive of treatment response to PEGylated recombinant human arginase I in AML and its therapeutic partners	YANG Ning
155	HMRF - Advanced Medical Research	6172546	Cancer-associated fibroblasts derived follistatin-like 1 (FSTL1) as a prognostic biomarker and therapeutic target for personalized treatment in hepatocellular carcinoma	TONG Man
156	HMRF - Advanced Medical Research	6172586	Modelling TP53-mutated acute myeloid leukaemia in zebrafish - biological and therapeutic implications	LEUNG Anskar Yu-Hung
157	HMRF - Advanced Medical Research	6172646	Mitochondrial protein Coiled-Coil-Helix-Coiled-coil-Helix Domain 10 (Chchd10) as a novel factor for the treatment of obesity and its related diseases.	HOO Ruby Lai-chong
158	HMRF - Advanced Medical Research	6172786	The chemokine and cytokine network and signature of a novel prognostic immune-metabotype of lung adenocarcinomas: a proteo-metabonomic study of malignant pleural effusions	LAM Ching-wan
159	HMRF - Advanced Medical Research	6172886	The functional significance of RalA: Regulations and therapeutic implication in liver cancer	CHAN LO KONG
160	HMRF - Advanced Medical Research	6172936	Targeting hepatocellular carcinoma metabolism through blockade of BRD4-associated super-enhancers	ZHANG SHUO
161	HMRF - Advanced Medical Research	6173066	Targeting Lactate Dehydrogenase A for Extranodal NK/T-cell lymphoma therapy	LIU JING
162	HMRF - Advanced Medical Research	6173226	Studying kinase-dependency profile of normal and malignant hematopoiesis to identify leukemic-specific kinase inhibitors targeting FLT3-ITD mutation using zebrafish platform	MA Alvin Chun-hang
163	HMRF - Advanced Medical Research	6173266	Deciphering the role of Placenta Specific 9 (PLAC9) in obesity	WONG Chi-Ming
164	HMRF - Advanced Medical Research	6173276	Evaluation of 4D Diffusion-weighted MRI (4D-DWI) for Stereotactic Body Radiation Therapy (SBRT) of Abdominal Cancers in a Pilot Clinical Trial	CAI Jing
165	HMRF - Advanced Medical Research	6173366	The use of EBV-encoded microRNA in the prediction of local recurrence for recurrent nasopharyngeal carcinoma patients	CHAN Yu Wai Jimmy
166	HMRF - Advanced Medical Research	6173386	Nerve growth factor (NGF)-driven superoxide production in head and neck cancers	WONG Thian Sze
167	HMRF - Advanced Medical Research	6173406	MicroRNA expression in Normal tissue Adjacent to the Tumor (NAT) and its prognostic and predictive value for development of colorectal cancer relapse or metastasis	LAW Wai Lun
168	HMRF - Advanced Medical Research	6173456	Development of ultrasound-responsive polymeric nanoreactors for retinoblastoma therapy	WANG Weiping
169	HMRF - Advanced Medical Research	6173496	Overcoming chemoresistance in ovarian cancer using nanotechnology-based codelivery of imatinib and chemotherapeutic drugs	WONG Alice Sze Tsai
170	HMRF - Advanced Medical Research	6173726	Exploiting the placental imprinted gene Paternally Expressed 10 (PEG10) as a specific cancer biomarker	SY Ming Hui
171	HMRF - Advanced Medical Research	6173996	In vitro and in vivo study of therapeutic efficacy of novel selenium nanoparticles for triple-negative breast cancer treatment	WONG Ka Hing
172	HMRF - Health and Health Services (former HHSRF)	7080651	The effect of decision aids on treatment decision making for breast cancer surgery: A randomized controlled trial	Lam WWT
173	HMRF - Health and Health Services (former HHSRF)	7080861	A cost effectiveness analysis of Helicobacter pylori screening for gastric cancer in Hong Kong Chinese: a decision analytic approach	Cowling BJ
174	HMRF - Advanced Medical Research	7180166	Radiation-associated neurocognitive impairment in nasopharyngeal cancer (NPC) patients after intensity-modulated radiotherapy (IMRT) and its association with radiation dose and retinal vascular characteristics: a cross-sectional study	CHOW James Chung-Hang
175	HMRF - Advanced Medical Research	7180176	Detection of MUTYH for the prognosis and chemotherapy responsiveness of patients with non-small cell lung cancer	WONG Chi Wai
176	HMRF - Advanced Medical Research	7180186	Identification of aldo-keto reductase family 1 member C3 (AKR1C3) as a novel druggable target against erlotinib resistance and tumor-initiating cells in lung adenocarcinoma.	CHO William Chi-Shing
177	HMRF - Advanced Medical Research	7180316	Identification of clinically approved drugs with putative histone deacetylase inhibitory effect to overcome drug resistance to targeted and cytotoxic chemotherapeutic drugs in lung cancer	TO Kenneth Kin-wah
178	HMRF - Advanced Medical Research	7180556	Improving liver cancer immunotherapy by co-targeting monocytic myeloid-derived suppressor cells (M-MDSCs)	ZHOU Jingying
179	HMRF - Advanced Medical Research	7180596	Recurrence rates in high-risk subjects with baseline advanced colorectal adenomas followed up at different surveillance intervals: a multi-centre randomised controlled trial in four Chinese cities	WONG Chi-sang
180	HMRF - Advanced Medical Research	7180606	Tumor immune microenvironment (TIME) to predict treatment response in breast cancer	NI YUNBI
